Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1,,,,2019-10-21 12:30:31,2019-10-21 12:30:36,"4,778s",INCOMPLETE
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:30:32,2019-10-21 12:30:34,"2,445s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:30:32,2019-10-21 12:30:34,"1,883s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,018s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,131s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,049s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,090s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,041s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:30:34,2019-10-21 12:30:35,"0,439s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,258s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,002s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,028s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,029s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:30:34,2019-10-21 12:30:34,"0,075s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:30:34,2019-10-21 12:30:35,"0,026s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,547s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,282s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,004s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,068s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,045s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,100s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,024s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:30:35,2019-10-21 12:30:36,"0,474s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,291s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,002s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,025s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:30:35,2019-10-21 12:30:35,"0,041s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:30:35,2019-10-21 12:30:36,"0,067s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:30:36,2019-10-21 12:30:36,"0,014s",PASSED
,,,,,,,
Test Cases/User(GET_POST),,,,2019-10-21 12:30:36,2019-10-21 12:30:36,"0,463s",PASSED
"response = sendRequest(findTestObject(""Object Repository/Create users""))",,,,2019-10-21 12:30:36,2019-10-21 12:30:36,"0,265s",PASSED
"verifyResponseStatusCode(response, 201)",,,,2019-10-21 12:30:36,2019-10-21 12:30:36,"0,001s",PASSED
"verifyElementPropertyValue(response, ""title"", findTestData(""REST"").getValue(1, 1))",,,,2019-10-21 12:30:36,2019-10-21 12:30:36,"0,025s",PASSED
"verifyElementPropertyValue(response, ""author"", findTestData(""REST"").getValue(2, 1))",,,,2019-10-21 12:30:36,2019-10-21 12:30:36,"0,039s",PASSED
"response = sendRequest(findTestObject(""GETs user""))",,,,2019-10-21 12:30:36,2019-10-21 12:30:36,"0,065s",PASSED
"containsString(response, findTestData(""REST"").getValue(1, 1), false)",,,,2019-10-21 12:30:36,2019-10-21 12:30:36,"0,014s",PASSED
